S.no,Date & Time,Machine Name,Operator No,Operator Name,Comp. Drawing No,Comp. Description,Comp. Serial No,Program No,Revision No,Actual Part Count,Run Time,Idle Time,Disconnect Time,Alarm Time,Component Status,Operation Sequence,Planned Touch Time,Start Time,End Time,Actual Run Time,Operation Status,Alarm,Message
,,,,,,,,,,,,,,,,N101,-,05-07-2026 04:17:47,05-07-2026 04:20:23,153,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 04:20:23,05-07-2026 04:24:32,235,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 04:24:32,05-07-2026 04:32:27,459,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 04:32:27,05-07-2026 04:35:28,120,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 04:35:28,05-07-2026 04:37:44,92,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 04:37:44,05-07-2026 04:42:02,249,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 04:42:02,05-07-2026 04:44:09,122,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 04:44:09,05-07-2026 04:54:44,404,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 04:54:44,05-07-2026 04:55:49,59,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 04:55:49,05-07-2026 05:00:12,210,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:00:12,05-07-2026 05:06:16,362,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:06:16,05-07-2026 05:08:53,138,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:08:53,05-07-2026 05:16:28,339,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:16:28,05-07-2026 05:23:23,93,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:23:23,05-07-2026 05:28:57,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:28:57,05-07-2026 05:33:20,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:33:20,05-07-2026 05:35:35,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:35:35,05-07-2026 05:37:08,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:37:08,05-07-2026 05:39:45,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:39:45,05-07-2026 05:41:12,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:41:12,05-07-2026 05:43:50,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:43:50,05-07-2026 05:44:52,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:44:52,05-07-2026 05:52:24,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:52:24,05-07-2026 05:54:13,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:54:13,05-07-2026 05:56:28,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 05:56:28,05-07-2026 06:02:35,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 06:02:35,05-07-2026 07:54:23,3801,Incomplete,UNKNOWN,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 07:54:23,05-07-2026 07:56:48,142,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 07:56:48,05-07-2026 08:00:00,165,Incomplete,UNKNOWN,Network Off
15,05-07-2026 03:57:10,SURIN-BFW_XTRON_3,119,SANDEEP,5101,JCB PIVOT OUTER,9||1,-,1,554,00:08:38,00:35:36,00:03:34,00:00:00,NEW,N1,180,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N2,240,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 04:16:34,05-07-2026 04:18:46,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N5,-,05-07-2026 04:18:46,05-07-2026 04:20:37,0,Incomplete,-,Network Off
16,05-07-2026 04:44:58,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,1,-,1,555,00:06:30,00:06:20,00:03:01,00:00:00,NEW,,,,,,,,
17,05-07-2026 05:00:48,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,1,-,1,556,00:06:23,00:07:54,00:13:52,00:00:00,NEW,,,,,,,,
18,05-07-2026 05:28:56,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,1,-,1,557,00:02:27,02:10:22,00:18:15,00:00:00,NEW,,,,,,,,
19,05-07-2026 08:00:00,SURIN-BFW_XTRON_2,125,AKASH PATEL,4801,LIUGONG MOTOR BRACKET,50316207610,-,1,7,00:11:51,00:00:00,00:00:00,00:00:00,duplicate,N1,480,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N2,420,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N3,241,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N4,1200,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N101,-,05-07-2026 08:00:29,05-07-2026 08:11:50,681,Unknown,-,-
20,05-07-2026 08:00:00,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,1,-,1,517,00:01:46,00:00:16,00:00:17,00:00:00,NEW,,,,,,,,
21,05-07-2026 08:02:18,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,-,-,-,558,00:08:41,00:16:09,00:00:00,00:00:00,NEW,,,,,,,,
22,05-07-2026 08:11:50,SURIN-BFW_XTRON_2,125,AKASH PATEL,4801,LIUGONG MOTOR BRACKET,50316207610,-,1,8,02:17:12,05:52:51,03:37:31,00:00:36,duplicate,N1,480,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N2,420,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N3,241,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N4,1200,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N101,-,05-07-2026 08:28:57,05-07-2026 09:11:28,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 09:11:28,05-07-2026 09:35:03,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 09:35:03,05-07-2026 09:38:39,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 09:38:39,05-07-2026 09:39:45,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 09:39:45,05-07-2026 09:41:20,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 09:41:20,05-07-2026 09:42:48,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 09:42:48,05-07-2026 09:45:30,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 09:45:30,05-07-2026 09:50:29,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 09:50:29,05-07-2026 10:07:29,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 10:07:29,05-07-2026 10:15:43,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 10:15:43,05-07-2026 11:27:07,2000,Incomplete,UNKNOWN,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 11:27:07,05-07-2026 12:13:04,1780,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 12:13:04,05-07-2026 12:15:01,114,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 12:15:01,05-07-2026 12:37:31,458,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 12:37:31,05-07-2026 12:39:26,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 12:39:26,05-07-2026 13:09:26,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 13:09:26,05-07-2026 13:11:09,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 13:11:09,05-07-2026 13:14:05,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 13:14:05,05-07-2026 14:16:18,10,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 14:16:18,05-07-2026 15:40:42,2885,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 15:40:42,05-07-2026 15:44:28,223,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 15:44:28,05-07-2026 15:45:14,42,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 15:45:14,05-07-2026 15:50:46,318,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 15:50:46,05-07-2026 16:00:42,382,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 16:00:42,05-07-2026 16:02:40,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 16:02:40,05-07-2026 16:08:39,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 16:08:39,05-07-2026 16:12:20,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 16:12:20,05-07-2026 16:22:51,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 16:22:51,05-07-2026 16:24:01,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 16:24:01,05-07-2026 16:27:01,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 16:27:01,05-07-2026 16:29:38,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 16:29:38,05-07-2026 16:50:13,21,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 16:50:13,05-07-2026 20:00:00,0,Incomplete,UNKNOWN,Network Off
23,05-07-2026 08:27:08,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,1,-,1,559,00:00:10,01:36:23,00:14:17,00:00:00,NEW,,,,,,,,
24,05-07-2026 10:17:56,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,-,-,-,560,00:10:29,00:10:56,00:00:00,00:00:00,NEW,,,,,,,,
25,05-07-2026 10:39:21,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,-,-,-,561,00:00:07,00:00:59,00:00:00,00:00:00,NEW,,,,,,,,
26,05-07-2026 10:40:26,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,-,-,-,562,00:00:04,00:04:48,00:00:00,00:00:00,NEW,,,,,,,,
27,05-07-2026 10:45:18,SURIN-BFW_XTRON_3,119,SANDEEP,5101,JCB PIVOT OUTER,9,-,-,563,00:12:48,00:11:47,00:00:00,00:00:00,NEW,N1,180,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N2,240,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N4,-,05-07-2026 11:08:03,05-07-2026 11:08:59,57,Unknown,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 11:08:59,05-07-2026 11:09:52,53,Unknown,-,-
28,05-07-2026 11:09:52,SURIN-BFW_XTRON_3,119,SANDEEP,5101,JCB PIVOT OUTER,9,-,1,564,00:03:20,00:17:29,00:00:08,00:00:00,NEW,N1,180,05-07-2026 11:21:41,05-07-2026 11:27:37,8,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N2,240,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N1,180,05-07-2026 11:27:37,05-07-2026 11:28:58,82,Rework-1,-,-
,,,,,,,,,,,,,,,,N4,-,05-07-2026 11:28:58,05-07-2026 11:30:22,84,Unknown,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 11:30:22,05-07-2026 11:30:49,27,Unknown,-,-
